Resistencia	Edad
10.9	18.7
10.6	19.1
13.4	9.3
10.7	17.5
13.0	14.6
13.1	12.8
12.1	16
14.3	7
11.9	14.9
11.1	15.6
12.7	11.9
12.0	15.8
11.5	19
13.7	8.8
13.5	11.9
11.3	19.1
10.8	19.7
12.4	6.8
13.3	12.1
12.6	13.4
11.7	18.6
14.6	7.1
11.0	19.8
11.5	19.2
14.5	6.2
12.5	12.7
13.9	10.9
12.6	18.6
12.9	11.7
11.5	17.5
11.9	16.1
11.7	17.2
13.1	10.8
12.0	15.3
14.3	5.1
11.9	17.5
15.3	5.1
12.3	8.1
11.7	18.6
12.3	14.2
12.6	10.7
12.6	11.5
14.7	5.6
11.3	19.6
13.2	11.5
10.9	19.4
11.3	18.3
12.9	14.6
10.7	19.6
12.3	14.3
13.4	10
13.7	10.2
12.7	11
11.6	16.8
15.0	5.6
12.5	16.2
11.7	15.2
13.2	7.6
13.2	8.9
12.1	12.7
12.6	15.1
11.4	19.7
11.6	16.4
12.1	13.5
11.2	17.7
12.5	7.8
13.9	9.1
11.2	17.4
11.4	15.4
12.6	8.6
14.8	5.6
13.2	7.1
14.4	8.2
11.8	12.2
13.0	8
11.6	15.8
16.3	5.1
12.7	10.6
12.6	12.7
15.2	5
12.7	13.7
14.8	7.4
12.7	10.4
11.6	14.7
11.9	16.6
13.1	13.5
13.9	8.5
14.4	6.3
14.1	6.3
13.9	9.6
11.6	15
15.5	5
13.0	8.1
11.5	19
11.2	18.9
11.0	16
12.9	10
11.7	12.7
11.1	16.2
12.2	14.3
